rank,mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
1,6.94,0,Aleia HOBBS,24 FEB 1996,USA,1,"Convention Center, Albuquerque, NM (USA) (i)",18 FEB 2023,1241.0
1,6.94,0,Julien ALFRED,10 JUN 2001,LCA,1,"Convention Center, Albuquerque, NM (USA) (i)",11 MAR 2023,1241.0
3,7.0,0,Mujinga KAMBUNDJI,17 JUN 1992,SUI,1,"Ataköy Arena, Istanbul (TUR) (i)",03 MAR 2023,1220.0
4,7.02,+2.0,Tina CLAYTON,17 AUG 2004,JAM,1f2,"National Stadium, Kingston (JAM)",25 FEB 2023,1213.0
5,7.03,0,Dina ASHER-SMITH,04 DEC 1995,GBR,1h2,"Utilita Arena Birmingham, Birmingham (GBR) (i)",25 FEB 2023,1209.0
5,7.03,+2.0,Shashalee FORBES,10 MAY 1996,JAM,2f2,"National Stadium, Kingston (JAM)",25 FEB 2023,1209.0
7,7.04,0,Jacious SEARS,14 AUG 2001,USA,1h2,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1206.0
8,7.05,0,Daryll NEITA,29 AUG 1996,GBR,1,"Mercedes-Benz Arena, Berlin (GER) (i)",10 FEB 2023,1202.0
9,7.07,0,Samirah MOODY,08 NOV 2002,USA,1f2,"Dempsey Indoor, Seattle, WA (USA) (i)",25 FEB 2023,1195.0
9,7.07,0,Jadyn MAYS,02 APR 2002,USA,2h2,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1195.0
9,7.07,0,Kaila JACKSON,30 JUN 2004,USA,2h2,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1195.0
12,7.08,0,Tamari DAVIS,15 FEB 2003,USA,2,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2023,1192.0
12,7.08,0,Aminatou SEYNI,24 OCT 1996,NIG,1,"Gallur, Madrid (ESP) (i)",22 FEB 2023,1192.0
14,7.09,0,Ewa SWOBODA,26 JUL 1997,POL,2,"Messehalle, Karlsruhe (GER) (i)",27 JAN 2023,1188.0
14,7.09,0,Rosemary CHUKWUMA,05 DEC 2001,NGR,1,"Sports Performance Center, Lubbock, TX (USA) (i)",27 JAN 2023,1188.0
14,7.09,0,Marybeth SANT-PRICE,06 APR 1995,USA,2,"Convention Center, Albuquerque, NM (USA) (i)",18 FEB 2023,1188.0
14,7.09,0,Mikiah BRISCO,14 JUL 1996,USA,1h2,"Convention Center, Albuquerque, NM (USA) (i)",18 FEB 2023,1188.0
18,7.1,+2.0,Kerrica HILL,06 MAR 2005,JAM,3f2,"National Stadium, Kingston (JAM)",25 FEB 2023,1186.0
18,7.1,0,Mckenzie LONG,11 JUL 2000,USA,4h2,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1185.0
20,7.11,0,Destiny SMITH-BARNETT,26 JUL 1996,USA,3,"Convention Center, Albuquerque, NM (USA) (i)",18 FEB 2023,1182.0
20,7.11,0,Kristina MAKARENKO,28 FEB 1997,RUS,1h2,"IFKiS OGPU Arena, Orenburg (RUS) (i)",18 FEB 2023,1182.0
22,7.12,0,Autumn WILSON,16 DEC 2003,USA,5h2,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1178.0
23,7.13,0,Kayla WHITE,14 SEP 1996,USA,3,"Arena, Toruń (POL) (i)",08 FEB 2023,1175.0
23,7.13,0,Celera BARNES,02 DEC 1998,USA,5,"Convention Center, Albuquerque, NM (USA) (i)",18 FEB 2023,1175.0
25,7.14,0,Zaynab DOSSO,12 SEP 1999,ITA,2,"Atlas Arena, Łódź (POL) (i)",04 FEB 2023,1171.0
25,7.14,0,Tristan EVELYN,25 JAN 1998,BAR,2,"Mercedes-Benz Arena, Berlin (GER) (i)",10 FEB 2023,1171.0
25,7.14,0,Kiara GRANT,08 OCT 2000,JAM,2h1,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1171.0
25,7.14,0,Favour OFILI,31 DEC 2002,NGR,2h1,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1171.0
29,7.15,+0.5,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"National Stadium, Kingston (JAM)",28 JAN 2023,1168.0
29,7.15,0,Talitha DIGGS,22 AUG 2002,USA,1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 FEB 2023,1168.0
29,7.15,0,Rani ROSIUS,25 APR 2000,BEL,4,"Ataköy Arena, Istanbul (TUR) (i)",03 MAR 2023,1168.0
29,7.15,0,Ezinne ABBA,01 NOV 2000,USA,6h2,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1168.0
33,7.16,0,Gina LÜCKENKEMPER,21 NOV 1996,GER,3,"Mercedes-Benz Arena, Berlin (GER) (i)",10 FEB 2023,1164.0
33,7.16,0,Shawnti JACKSON,02 MAY 2005,USA,5,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2023,1164.0
35,7.17,0,Imani LANSIQUOT,17 DEC 1997,GBR,1er1,"Newham Leisure Centre, London (GBR) (i)",01 FEB 2023,1161.0
35,7.17,0,Joella LLOYD,12 APR 2002,ANT,1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2023,1161.0
35,7.17,0,Arialis GANDULLA,22 JUN 1995,POR,5,"Ataköy Arena, Istanbul (TUR) (i)",03 MAR 2023,1161.0
38,7.18,0,Melissa JEFFERSON,21 FEB 2001,USA,6,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2023,1158.0
38,7.18,0,Dajaz DEFRAND,16 OCT 2003,USA,2,"Convention Center, Albuquerque, NM (USA) (i)",11 FEB 2023,1158.0
38,7.18,0,N'Ketia SEEDO,07 JUN 2003,NED,1,"Omnisport, Apeldoorn (NED) (i)",18 FEB 2023,1158.0
38,7.18,0,Shericka JACKSON,16 JUL 1994,JAM,4,"Utilita Arena Birmingham, Birmingham (GBR) (i)",25 FEB 2023,1158.0
38,7.18,0,Amira YOUNG,15 JUN 2000,USA,1,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)",25 FEB 2023,1158.0
43,7.19,0,Brittany BROWN,18 APR 1995,USA,1h1,"Iowa-Recreation Building, Iowa City, IA (USA) (i)",21 JAN 2023,1154.0
43,7.19,0,Kevona DAVIS,20 DEC 2001,JAM,2sf3,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2023,1154.0
43,7.19,0,Jaël BESTUÉ,24 SEP 2000,ESP,1sf3,"Gallur, Madrid (ESP) (i)",18 FEB 2023,1154.0
43,7.19,0,Akilah LEWIS,10 DEC 2000,TTO,2,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)",25 FEB 2023,1154.0
43,7.19,0,Delphine NKANSA,21 SEP 2001,BEL,6,"Ataköy Arena, Istanbul (TUR) (i)",03 MAR 2023,1154.0
48,7.2,0,Rhasidat ADELEKE,29 AUG 2002,IRL,2,"Convention Center, Albuquerque, NM (USA) (i)",21 JAN 2023,1151.0
48,7.2,0,Morolake AKINOSUN,17 MAY 1994,USA,2f,"Halle Michel d'Ornano, Mondeville (FRA) (i)",08 FEB 2023,1151.0
48,7.2,0,Lisa MAYER,02 MAY 1996,GER,4,"Mercedes-Benz Arena, Berlin (GER) (i)",10 FEB 2023,1151.0
48,7.2,0,Jada BAYLARK,17 OCT 1997,USA,6,"Convention Center, Albuquerque, NM (USA) (i)",18 FEB 2023,1151.0
48,7.2,0,Taylor ANDERSON,01 DEC 1994,USA,7,"Convention Center, Albuquerque, NM (USA) (i)",18 FEB 2023,1151.0
48,7.2,0,Ackera NUGENT,29 APR 2002,JAM,3,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",25 FEB 2023,1151.0
48,7.2,0,Makayla JACKSON,25 AUG 2000,USA,1,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",11 MAR 2023,1151.0
55,7.21,0,Maboundou KONÉ,16 MAY 1997,CIV,3,"Convention Center, Albuquerque, NM (USA) (i)",21 JAN 2023,1147.0
55,7.21,0,Sarah ATCHO,01 JUN 1995,SUI,2,"Athletik Zentrum, St. Gallen (SUI) (i)",18 FEB 2023,1147.0
55,7.21,0,Asha PHILIP,25 OCT 1990,GBR,2,"Utilita Arena Birmingham, Birmingham (GBR) (i)",18 FEB 2023,1147.0
58,7.22,0,Kiara PARKER,28 OCT 1996,USA,3h1,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2023,1144.0
58,7.22,0,Géraldine FREY,19 JUN 1997,SUI,5,"Arena, Toruń (POL) (i)",08 FEB 2023,1144.0
58,7.22,0,Alexandra BURGHARDT,28 APR 1994,GER,5,"Mercedes-Benz Arena, Berlin (GER) (i)",10 FEB 2023,1144.0
58,7.22,+1.1,Briana WILLIAMS,21 MAR 2002,JAM,1,"National Stadium, Kingston (JAM)",11 FEB 2023,1144.0
58,7.22,0,Nadine VISSER,09 FEB 1995,NED,2,"Omnisport, Apeldoorn (NED) (i)",18 FEB 2023,1144.0
58,7.22,+2.0,Shockoria WALLACE,09 AUG 1993,JAM,4f2,"National Stadium, Kingston (JAM)",25 FEB 2023,1144.0
58,7.22,0,Kennedy BLACKMON,02 OCT 1999,USA,4,"Sports Performance Center, Lubbock, TX (USA) (i)",25 FEB 2023,1144.0
65,7.23,0,Krystsina TSIMANOUSKAYA,19 NOV 1996,BLR,1f1,"Arena, Toruń (POL) (i)",22 JAN 2023,1141.0
65,7.23,0,Candace HILL,11 FEB 1999,USA,5,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2023,1141.0
65,7.23,0,Farzaneh FASIHI,03 JAN 1993,IRI,1h1,Nur-Sultan (KAZ) (i),10 FEB 2023,1141.0
65,7.23,0,Semira KILLEBREW,30 MAR 2001,USA,3sf2,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2023,1141.0
65,7.23,0,Jayla JAMISON,06 SEP 2003,USA,4sf3,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2023,1141.0
65,7.23,0,Ashanti MOORE,07 NOV 2000,JAM,1,"Sports Performance Center, Lubbock, TX (USA) (i)",17 FEB 2023,1141.0
65,7.23,0,Denisha CARTWRIGHT,28 DEC 1999,BAH,1h1,"Myers Fieldhouse, Mankato, MN (USA) (i)",25 FEB 2023,1141.0
72,7.24,0,Cambrea STURGIS,27 MAR 1999,USA,4,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",27 JAN 2023,1137.0
72,7.24,0,Anna KIEŁBASIŃSKA,26 JUN 1990,POL,1,"Arena, Toruń (POL) (i)",29 JAN 2023,1137.0
72,7.24,0,Demisha ROSWELL,19 JUN 1998,JAM,1,"Sports Performance Center, Lubbock, TX (USA) (i)",10 FEB 2023,1137.0
72,7.24,0,Micayah HOLLAND,2004,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2023,1137.0
72,7.24,0,Rosalina SANTOS,18 FEB 1998,POR,2,"Expocentro, Pombal (POR) (i)",18 FEB 2023,1137.0
72,7.24,0,Natasha MORRISON,17 NOV 1992,JAM,5,"Utilita Arena Birmingham, Birmingham (GBR) (i)",25 FEB 2023,1137.0
72,7.24,+2.0,Jura LEVY,04 NOV 1990,JAM,5f2,"National Stadium, Kingston (JAM)",25 FEB 2023,1137.0
72,7.24,0,Erin KINNEY,,USA,1h1,"The DakotaDome, Vermillion, SD (USA) (i)",25 FEB 2023,1137.0
80,7.25,0,Khaddi SAGNIA,20 APR 1994,SWE,1f1,"Friidrottens Hus, Göteborg (SWE) (i)",14 JAN 2023,1134.0
80,7.25,0,Maia MCCOY,09 DEC 1996,USA,1pr,"Sports Performance Center, Lubbock, TX (USA) (i)",27 JAN 2023,1134.0
80,7.25,0,Jahniya BOWERS,05 MAY 2001,USA,3,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 FEB 2023,1134.0
80,7.25,0,Demi VAN DEN WILDENBERG,29 FEB 2000,NED,3,"Omnisport, Apeldoorn (NED) (i)",18 FEB 2023,1134.0
80,7.25,0,Cynthia LEDUC,16 FEB 1997,FRA,1,"Stadium Jean-Pellez, Aubiére (FRA) (i)",18 FEB 2023,1134.0
80,7.25,0,Anthonique STRACHAN,22 AUG 1993,BAH,6,"Utilita Arena Birmingham, Birmingham (GBR) (i)",25 FEB 2023,1134.0
80,7.25,0,Jacqueline MADOGO,14 APR 2000,CAN,1,"Dennis Fairall Fieldhouse, Windsor (CAN) (i)",25 FEB 2023,1134.0
80,7.25,0,Yuliya KARAVAYEVA,23 NOV 2000,RUS,2,"LFK CSKA, Moskva (RUS) (i)",03 MAR 2023,1134.0
88,7.26,0,Patrizia VAN DER WEKEN,12 NOV 1999,LUX,1,"Coque Sport Center, Luxembourg (LUX) (i)",22 JAN 2023,1131.0
88,7.26,0,Magdalena STEFANOWICZ,21 SEP 2000,POL,2f1,"Arena, Toruń (POL) (i)",22 JAN 2023,1131.0
88,7.26,0,Maria Isabel PÉREZ,01 MAR 1993,ESP,6,"Arena, Toruń (POL) (i)",08 FEB 2023,1131.0
88,7.26,0,Dennisha PAGE,,USA,2h1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 FEB 2023,1131.0
88,7.26,0,Mia BRAHE-PEDERSEN,28 NOV 2005,USA,4,"Convention Center, Albuquerque, NM (USA) (i)",11 FEB 2023,1131.0
88,7.26,0,Melissa GUTSCHMIDT,07 JAN 2002,SUI,3,"Athletik Zentrum, St. Gallen (SUI) (i)",18 FEB 2023,1131.0
88,7.26,0,Salomé KORA,08 JUN 1994,SUI,4,"Athletik Zentrum, St. Gallen (SUI) (i)",18 FEB 2023,1131.0
88,7.26,0,Olivia FOTOPOULOU,20 DEC 1996,CYP,5,"Gallur, Madrid (ESP) (i)",22 FEB 2023,1131.0
88,7.26,+2.0,Amoi BROWN,11 JAN 1999,JAM,6f2,"National Stadium, Kingston (JAM)",25 FEB 2023,1140.0
88,7.26,0,Polyniki EMMANOUILIDOU,30 JUN 2003,GRE,3h1,"Ataköy Arena, Istanbul (TUR) (i)",03 MAR 2023,1131.0
98,7.27,0,Alisha REES,16 APR 1999,GBR,1er10,"Lee Valley Athletics Centre, London (GBR) (i)",08 JAN 2023,1127.0
98,7.27,0,Victoria PERROW,,USA,4sf2,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2023,1127.0
98,7.27,0,Meixia HUANG,23 NOV 2003,CHN,1f3,"Sichuan Xipu Training Base, Chengdu (CHN) (i)",24 FEB 2023,1127.0
